         item_title          | item_rating | item_release_date 
-----------------------------+-------------+-------------------
 The Hunt for Red October    | PG          | 1990-03-02
 Star Wars I                 | PG          | 1999-05-04
 Star Wars II                | PG          | 2002-05-16
 Star Wars II                | PG          | 2002-05-16
 Star Wars III               | PG13        | 2005-05-19
 The Chronicles of Narnia    | PG          | 2002-05-16
 RoboCop                     | Mature      | 2003-07-24
 Pirates of the Caribbean    | Teen        | 2003-06-30
 The Chronicles of Narnia    | Everyone    | 2003-06-30
 MarioKart                   | Everyone    | 2003-11-17
 Splinter Cell               | Teen        | 2003-04-08
 Need for Speed              | Everyone    | 2004-11-15
 The DaVinci Code            | Teen        | 2006-05-19
 Cars                        | Everyone    | 2006-04-28
 Beau Geste                  | PG          | 1992-03-01
 I Remember Mama             | NR          | 1998-01-05
 Tora! Tora! Tora!           | G           | 1999-11-02
 A Man for All Seasons       | G           | 1994-06-28
 Hook                        | PG          | 1991-12-11
 Around the World in 80 Days | G           | 1992-12-04
 Camelot                     | G           | 1998-05-15
(21 rows)

