 Task Expected Results 
-----------------------
 Lab 8: Step 1: Task 1
(1 row)

 item_id | active_flag | price_type | start_date |  end_date  | amount 
---------+-------------+------------+------------+------------+--------
    1001 | Y           |       1025 | 1990-04-02 |            |   1.00
    1001 | N           |       1025 | 1990-04-02 | 1990-04-01 |   5.00
    1001 | Y           |       1026 | 1990-04-02 |            |   3.00
    1001 | N           |       1026 | 1990-04-02 | 1990-04-01 |  10.00
    1001 | Y           |       1027 | 1990-04-02 |            |   5.00
    1001 | N           |       1027 | 1990-04-02 | 1990-04-01 |  15.00
    1002 | Y           |       1025 | 1999-06-04 |            |   1.00
    1002 | N           |       1025 | 1999-06-04 | 1999-06-03 |   5.00
    1002 | Y           |       1026 | 1999-06-04 |            |   3.00
    1002 | N           |       1026 | 1999-06-04 | 1999-06-03 |  10.00
    1002 | Y           |       1027 | 1999-06-04 |            |   5.00
    1002 | N           |       1027 | 1999-06-04 | 1999-06-03 |  15.00
    1003 | Y           |       1025 | 2002-06-16 |            |   1.00
    1003 | N           |       1025 | 2002-06-16 | 2002-06-15 |   5.00
    1003 | Y           |       1026 | 2002-06-16 |            |   3.00
    1003 | N           |       1026 | 2002-06-16 | 2002-06-15 |  10.00
    1003 | Y           |       1027 | 2002-06-16 |            |   5.00
    1003 | N           |       1027 | 2002-06-16 | 2002-06-15 |  15.00
    1004 | Y           |       1025 | 2002-06-16 |            |   1.00
    1004 | N           |       1025 | 2002-06-16 | 2002-06-15 |   5.00
    1004 | Y           |       1026 | 2002-06-16 |            |   3.00
    1004 | N           |       1026 | 2002-06-16 | 2002-06-15 |  10.00
    1004 | Y           |       1027 | 2002-06-16 |            |   5.00
    1004 | N           |       1027 | 2002-06-16 | 2002-06-15 |  15.00
    1006 | Y           |       1025 | 2002-06-16 |            |   1.00
    1006 | N           |       1025 | 2002-06-16 | 2002-06-15 |   5.00
    1006 | Y           |       1026 | 2002-06-16 |            |   3.00
    1006 | N           |       1026 | 2002-06-16 | 2002-06-15 |  10.00
    1006 | Y           |       1027 | 2002-06-16 |            |   5.00
    1006 | N           |       1027 | 2002-06-16 | 2002-06-15 |  15.00
    1007 | Y           |       1025 | 2003-08-24 |            |   1.00
    1007 | N           |       1025 | 2003-08-24 | 2003-08-23 |   5.00
    1007 | Y           |       1026 | 2003-08-24 |            |   3.00
    1007 | N           |       1026 | 2003-08-24 | 2003-08-23 |  10.00
    1007 | Y           |       1027 | 2003-08-24 |            |   5.00
    1007 | N           |       1027 | 2003-08-24 | 2003-08-23 |  15.00
    1008 | Y           |       1025 | 2003-07-31 |            |   1.00
    1008 | N           |       1025 | 2003-07-31 | 2003-07-30 |   5.00
    1008 | Y           |       1026 | 2003-07-31 |            |   3.00
    1008 | N           |       1026 | 2003-07-31 | 2003-07-30 |  10.00
    1008 | Y           |       1027 | 2003-07-31 |            |   5.00
    1008 | N           |       1027 | 2003-07-31 | 2003-07-30 |  15.00
    1009 | Y           |       1025 | 2003-07-31 |            |   1.00
    1009 | N           |       1025 | 2003-07-31 | 2003-07-30 |   5.00
    1009 | Y           |       1026 | 2003-07-31 |            |   3.00
    1009 | N           |       1026 | 2003-07-31 | 2003-07-30 |  10.00
    1009 | Y           |       1027 | 2003-07-31 |            |   5.00
    1009 | N           |       1027 | 2003-07-31 | 2003-07-30 |  15.00
    1010 | Y           |       1025 | 2003-12-18 |            |   1.00
